"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"3622",7.1,0.27,0.24,12.6,0.044,48,118,0.99726,3.04,0.56,10,7
"2507",6.6,0.32,0.34,7.7,0.044,63,212,0.99526,3.22,0.48,9.7,6
"3197",6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,7
"502",6.8,0.19,0.58,14.2,0.038,51,164,0.9975,3.12,0.48,9.6,6
"1875",7.9,0.29,0.31,7.35,0.034,37,154,0.9938,3.06,0.31,10.8,5
"2563",6.9,0.32,0.26,2.3,0.03,11,103,0.99106,3.06,0.42,11.1,6
"62",6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6
"1587",9.3,0.31,0.49,1.3,0.042,34,147,0.9948,3.11,0.46,9.8,5
"3412",6,0.14,0.17,5.6,0.036,37,127,0.99373,3.05,0.57,9.8,6
"291",7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7
"3521",6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,5
"3036",6,0.24,0.33,2.5,0.026,31,85,0.99014,3.13,0.5,11.3,7
"661",7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,5
"3452",6.6,0.21,0.29,5.35,0.029,43,106,0.99112,2.93,0.43,11.5,7
"3763",7.4,0.2,0.35,6.1,0.025,10,40,0.99244,2.79,0.52,10.9,5
"974",6.5,0.08,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,7
"1970",6.3,0.41,0.3,3.2,0.03,49,164,0.9927,3.53,0.79,11.7,7
"362",7.1,0.365,0.14,1.2,0.055,24,84,0.9941,3.15,0.43,8.9,5
"624",7.2,0.24,0.34,1.1,0.045,3,64,0.9913,3.23,0.51,11.4,5
"2066",7.8,0.27,0.28,1.8,0.05,21,127,0.9934,3.15,0.44,9.9,5
"4441",6.7,0.34,0.31,16.4,0.051,20,146,0.99834,3.06,0.54,9.1,5
"1693",7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8,6
"751",7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,6
"2220",6.5,0.24,0.36,2.2,0.027,36,134,0.9898,3.28,0.36,12.5,7
"2942",7.2,0.3,0.3,8.7,0.022,14,111,0.99576,3.11,0.61,10.6,5
"3429",6.4,0.32,0.27,4.9,0.034,18,122,0.9916,3.36,0.71,12.5,6
"1042",7.7,0.275,0.3,1,0.039,19,75,0.992,3.01,0.56,10.7,5
"3647",7.2,0.33,0.22,4.5,0.031,10,73,0.99076,2.97,0.52,12.2,7
"1632",8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,6
"4223",6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,4
"1114",7.4,0.18,0.4,1.6,0.047,22,102,0.9937,3.28,0.44,10.7,5
"2093",5.3,0.76,0.03,2.7,0.043,27,93,0.9932,3.34,0.38,9.2,5
"2107",8.5,0.24,0.47,15.2,0.057,40,234,1.0005,3.02,0.66,9,5
"2012",7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,5
"963",7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6
"4554",5.7,0.28,0.3,3.9,0.026,36,105,0.98963,3.26,0.58,12.75,6
"2412",8,0.27,0.25,19.1,0.045,50,208,1.00051,3.05,0.5,9.2,6
"642",6.1,0.28,0.25,12.9,0.054,34,189,0.9979,3.25,0.43,9,4
"3331",6.7,0.23,0.33,8.1,0.048,45,176,0.99472,3.11,0.52,10.1,6
"80",6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,5
"2297",6.9,0.28,0.31,7.2,0.04,47,168,0.9946,3.29,0.57,10.6,7
"2373",6,0.33,0.18,3,0.036,5,85,0.99125,3.28,0.4,11.5,4
"3166",6.1,0.68,0.52,1.4,0.037,32,123,0.99022,3.24,0.45,12,6
"1137",6,0.26,0.42,5.2,0.027,70,178,0.9914,3.4,0.4,12.3,8
"2675",7.2,0.35,0.25,5.6,0.032,23,120,0.99334,2.93,0.66,10.3,7
"3044",7.2,0.21,1,1.1,0.154,46,114,0.9931,2.95,0.43,9.2,6
"4359",6.5,0.23,0.2,7.5,0.05,44,179,0.99504,3.18,0.48,9.53333333333333,5
"4567",8.6,0.36,0.26,11.1,0.03,43.5,171,0.9948,3.03,0.49,12,5
"115",6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5
"4177",6.8,0.24,0.33,3.2,0.049,68,161,0.99324,3.1,0.69,10.2,6
"3482",5.8,0.22,0.3,1.1,0.047,36,131,0.992,3.26,0.45,10.4,5
"208",10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9,4
"2819",6,0.11,0.47,10.6,0.052,69,148,0.9958,2.91,0.34,9.3,4
"625",6,0.36,0.06,1.4,0.066,27,128,0.9934,3.26,0.55,9.3,5
"817",8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5
"439",7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,7
"201",6.8,0.27,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3,5
"2325",6.9,0.3,0.21,7.2,0.045,54,190,0.99595,3.22,0.48,9.4,5
"2347",7.7,0.28,0.63,11.1,0.039,58,179,0.9979,3.08,0.44,8.8,4
"3935",7.3,0.27,0.3,1.3,0.04,26,84,0.99222,3.28,0.53,10.7,6
"3509",6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1,5
"4095",6.4,0.25,0.28,4.9,0.03,29,98,0.99024,3.09,0.58,12.8,7
"657",9,0.27,0.35,4.9,0.028,27,95,0.9932,3.04,0.4,11.3,6
"359",10,0.2,0.39,1.4,0.05,19,152,0.994,3,0.42,10.4,6
"1305",8,0.59,0.71,17.35,0.038,61,228,1,2.95,0.75,9.3,5
"4562",6,0.26,0.26,2.2,0.035,10,72,0.989465,3.11,0.48,12.15,6
"1993",7,0.12,0.28,6.3,0.057,17,103,0.9957,3.5,0.44,9.6,5
"4112",5.5,0.21,0.25,1.2,0.04,18,75,0.99006,3.31,0.56,11.3,6
"4772",6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,6
"4139",6.6,0.23,0.32,1.5,0.041,8,72,0.98949,3.22,0.39,12.7,6
"3786",5.6,0.19,0.31,2.7,0.027,11,100,0.98964,3.46,0.4,13.2,7
"2679",7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6,5
"3526",5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,6
"2268",6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,6
"4149",6.2,0.2,0.25,15,0.055,8,120,0.99767,3.19,0.53,9.6,6
"3399",6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,5
"405",6.8,0.22,0.31,6.3,0.035,33,170,0.9918,3.24,0.66,12.6,6
"3006",6.9,0.3,0.36,0.9,0.037,40,156,0.98968,3.08,0.36,12.1,6
